position_type,rsi,rsi_delta,dxy_rsi,vix_close,us10y_rsi,outcome
0,0.769599304,0.60125622,0.805333673,0.098708359,0.425247919,1
0,0.752767209,0.705923628,0.366117555,0.042828007,0.502642185,1
1,0.280424316,0.480123078,0.962344644,0.171583952,0.410714286,1
1,0.308136078,0.503933169,0.437839357,0.368864708,0.331437352,0
0,0.746480472,0.592499128,0.302439705,0.055200542,0.316459997,0
1,0.290054981,0.473407183,0.468900046,0.130251512,0.470632815,1
1,0.195199659,0.413916791,0.294800231,0.067573078,0.643559859,1
1,0.284380858,0.509487889,0.315789127,0.277090407,0.398564677,1
1,0.314543453,0.466891771,0.407236836,0.185859941,0.741485584,1
1,0.273541816,0.493536479,0.345959664,0.077090413,0.667706818,1
1,0.279031882,0.510706313,0.475903056,0.097348726,0.617820921,0
0,0.778941559,0.577768899,0.594155054,0.092590072,0.539079414,0
0,0.885228621,0.742761108,0.500001074,0.061318829,0.710320426,1
0,0.801974882,0.64461602,0.892592091,0.056696124,0.348746498,1
0,0.817971039,0.635682019,0.720929037,0.109857223,0.377993885,1
0,0.880793622,0.675073261,0.214877192,0.045275322,0.41207234,0
1,0.242685512,0.497714492,0.55641997,0.058735552,0.482440807,0
0,0.82732348,0.649082472,0.25949456,0.076954451,0.624372869,0
0,0.791034259,0.607085743,0.140497398,0.343983662,0.904031156,1
0,0.753867942,0.654911802,0.452471302,0.090822567,0.384326291,0
0,0.840396118,0.639584064,0.428570866,0.046770903,0.536787806,1
1,0.171892421,0.449735819,0.514644401,0.053840923,0.129404116,1
1,0.292698341,0.462175511,0.116883079,0.21237253,0.239189929,1
0,0.775195551,0.581771225,0.470150175,0.07056424,0.236529379,0
0,0.779543557,0.586826228,0.708333309,0.039700883,0.332512315,1
1,0.310449862,0.534651991,0.794039622,0.073555402,0.393011084,0
0,0.813386875,0.631314875,0.809364421,0.157036039,0.431150197,0
1,0.312772486,0.476052185,0.873874775,0.051393608,0.432947134,0
0,0.766987074,0.614098651,0.566037572,0.035350101,0.377782064,0
1,0.309713899,0.532117475,0.616350849,0.201359627,0.326864161,0
1,0.314746285,0.424346941,0.745280447,0.042148197,0.048815638,0
0,0.761688569,0.584893532,0.289061832,0.141264456,0.53354232,1
0,0.754154553,0.79948997,0.575893561,0.062542486,0.903875938,1
1,0.272195543,0.529206011,0.431575801,0.199320171,0.674993029,1
1,0.301279682,0.52936947,0.53874621,0.181645134,0.338687544,1
0,0.798626004,0.643559496,0.735628802,0.078450032,0.475089566,0
1,0.101677622,0.353338056,0.870207352,0.107002037,0.633373115,0
1,0.193117241,0.490012876,0.748251748,0.002719239,0.588609876,1
0,0.761471995,0.595575256,0.778846741,0.107817808,0.314908722,1
1,0.274102493,0.504570049,0.537084404,0.330795382,0.58513241,1
0,0.749823347,0.585613551,0.336805435,0.183412626,0.37993795,0
1,0.24973262,0.460073591,0.360248571,0.012100611,0.469189157,0
0,0.85274453,0.667659129,0.614035165,0.047314751,0.309688013,0
0,0.818739205,0.602845415,0.667882602,0.077226375,0.707924301,1
1,0.256424812,0.501070733,0.849160451,0.089055062,0.748300212,0
1,0.316483987,0.523648257,0.434039535,0.200543829,0.598945335,1
0,0.778261888,0.591270094,0.628675872,0.147382729,0.329086431,0
1,0.314670871,0.510932093,0.397999274,0.091094491,0.580494391,1
0,0.798760933,0.607827377,0.422018851,0.008701563,0.79148487,1
0,0.873031979,0.682295369,0.675324886,0.119102648,0.272386801,1
1,0.269753197,0.376257202,0.703624544,0.05506458,0.739226291,0
1,0.29752441,0.522229512,0.70122055,0.037661454,0.281423804,1
1,0.252336629,0.518280188,0.491847114,0.063902106,0.237931034,1
1,0.3136814,0.476710643,0.146551241,0.056832085,0.450770629,1
0,0.789187576,0.648906398,0.14830474,0.072331745,0.797500184,0
0,0.765758833,0.588556712,0.533073438,0.024745071,0.567936647,1
0,0.766462379,0.646121764,0.192592688,0.050441875,0.847139068,0
0,0.785861347,0.664308455,0.759784702,0.065669611,0.424104344,0
0,0.746128919,0.577010609,0.547243879,0.042012235,0.479023943,1
1,0.303334495,0.474464293,0.449702398,0.05220938,0.684992291,0
1,0.301045196,0.505485223,0.343749837,0.047722636,0.643502798,0
0,0.758979081,0.589806256,0.662686557,0.342352132,0.389211129,1
0,0.886711193,0.777627888,0.259574799,0.261590734,0.219219846,0
1,0.263408531,0.456992653,0.190059175,0.080353499,0.360818492,0
1,0.290093406,0.397812614,0.669175448,0.079673689,0.455612619,0
1,0.23578249,0.506584675,0.795866809,0.222297751,0.293813142,1
0,0.869049055,0.6272118,0.68926727,0.016179469,0.973051289,0
0,0.865962332,0.687722733,0.846847001,0.214275997,0.701661572,1
1,0.296416788,0.542083465,0.260273059,0.048946294,0.391566502,0
0,0.802884362,0.694334133,0.355140126,0.042148197,0.292664414,1
0,0.820849033,0.618548638,0.401442453,0.435486025,0.365079365,0
0,0.758716646,0.615716521,0.383674333,0.098572383,0.354399645,1
0,0.782574748,0.621429295,0.390322636,0.234262414,0.404857938,0
1,0.31415913,0.536700482,0.36956517,0.05288919,0.387110016,1
1,0.28949651,0.52689155,0.119690146,0.104146822,0.407881773,0
0,0.826301464,0.657814677,0.487973891,0.051665532,0.816778178,1
1,0.291129242,0.534703403,0.390322636,0.234262414,0.404857938,1
1,0.293832885,0.394374102,0.538153136,0.060231134,0.723846527,1
1,0.295404714,0.523412368,0.57467634,0.121278025,0.554374523,0
1,0.288041454,0.536195334,0.51351401,0.118830711,0.242680749,1
1,0.296070923,0.535052326,0.861701358,0.107817808,0.365007837,1
0,0.769793823,0.573418835,0.727273935,0.210740973,0.219021023,1
1,0.232719283,0.492958583,0.48728869,0.122365721,0.325953037,1
0,0.807373667,0.599602039,0.804875818,0.082936775,0.264030612,0
0,0.758245673,0.59141487,0.746269414,0.058191705,0.763794054,1
0,0.760893967,0.685949557,0.48529468,0.073691364,0.776365876,0
0,0.771697999,0.653081857,0.324504995,0.008565601,0.605449507,1
1,0.241603424,0.449342062,0.514150384,0.040652616,0.249132333,1
1,0.303611521,0.512027495,0.847826087,0.097076829,0.369203329,1
0,0.76171314,0.600205558,0.670885131,0.049354179,0.838001782,1
0,0.763109473,0.606326079,0.495296859,0.041876274,0.605734872,1
1,0.272319313,0.413280895,0.836882038,0.051257646,0.514487237,1
1,0.304823721,0.45580772,0.637500269,0.121006129,0.578700874,1
0,0.748133597,0.646887396,0.685532218,0.035893949,0.308282736,0
1,0.292040811,0.542021445,0.658729617,0.109585327,0.47296929,1
1,0.306665297,0.479541021,0.325966767,0.071787897,0.32311622,1
0,0.771390529,0.592536606,0.522901509,0.275458864,0.366093536,1
1,0.272735423,0.512906516,0.840090135,0.031135281,0.806138018,0
1,0.239520013,0.437582778,0.502203103,0.068388849,0.371869179,1
1,0.255504357,0.468060828,0.901409582,0.087423519,0.474824202,1
1,0.255084059,0.517863935,0.442906342,0.230863366,0.560044922,0
1,0.319340312,0.556773151,0.296968305,0.110537047,0.277832512,1
1,0.226842088,0.447778089,0.824998427,0.045819169,1,0
0,0.828281834,0.663141549,0.04466359,0.04445955,0.475862069,0
1,0.257946136,0.463148208,0.481572236,0.140312695,0.756302521,0
1,0.146578449,0.391784561,0.623187849,0.060910943,0.505979921,0
1,0.317971385,0.525689,0.50273292,0.120326305,0.904380718,0
1,0.311647018,0.543898708,0.368645071,0.120870167,0.687993353,0
1,0.209426294,0.49935798,0.21135441,0.322501704,0.103484856,0
0,0.751105144,0.645673036,0.603703962,0.229911605,0.689600559,0
1,0.295479161,0.524624408,0.580718226,0.298980264,0.450037152,0
0,0.826388417,0.638774252,0.525116451,0.290822575,0.406767342,1
0,0.765344484,0.571041557,0.3899995,0.025560842,0.373471994,1
1,0.282061899,0.483866828,0.522633736,0.113936095,0.578041041,1
1,0.31696124,0.507579444,0.680783166,0.065533649,0.837070804,1
0,0.764988819,0.580435567,0.216729544,0.017675051,0.405088063,1
0,0.760155238,0.578497769,0.834953888,0.065533649,0.439527773,0
1,0.264732026,0.481256697,0.685024919,0.104826646,0.508866042,1
0,0.774534777,0.592422926,0.323232471,0.082664852,0.664526485,0
1,0.202252343,0.349018785,0.952383069,0.216995235,0.195507241,1
1,0.308174645,0.521884843,0.240677301,0.125628807,0.709882732,0
0,0.860517477,0.632702082,0.507463927,0.122093824,0.615619432,1
1,0.273640908,0.465316032,0.557789705,0.230455466,0.61088284,0
0,0.752077594,0.598514103,0.053729665,0.054112847,0.355281635,0
1,0.272949013,0.495844703,0.491176594,0.066213458,0.407426548,1
0,0.787599828,0.585337855,0.491854883,0.019578517,0.839225773,0
1,0.294353395,0.49338578,0.25581523,0.022025832,0.367346939,0
0,0.760973226,0.593008976,0.435045121,0.063902106,0.280418719,1
1,0.290491044,0.529507086,0.411762347,0.04377974,0.297153132,0
1,0.302153653,0.520047899,0.455694632,0.33963288,0.562961823,1
1,0.243797529,0.498099165,0.66560478,0.070156354,0.798373239,0
1,0.283071329,0.527666512,0.533631719,0.040516654,0.519610154,1
0,0.78399313,0.585541921,0.310345113,0.079537727,0.467127171,0
0,0.826753763,0.631617913,0.5,0.129163817,0.479974299,1
1,0.299228804,0.509040813,0.676617757,0.106186279,0.26890378,0
1,0.27461035,0.519094091,0.483871583,0.061046905,0.137132665,1
0,0.77965182,0.638237507,0.011904384,0.133106726,0.311700045,0
1,0.269713318,0.527946944,0.860656578,0.086879671,0.842521748,1
0,0.74719462,0.594114242,0.29754713,0.032494901,0.254926108,1
1,0.27774605,0.473769342,0.603844376,0.125492872,0.289810734,1
1,0.310618567,0.5168358,0.382910591,0.090550643,0.46453202,0
1,0.218768918,0.114721788,0.531328533,0.105642417,0.389177136,0
0,0.782337334,0.692310262,0.461537537,0.171583952,0.104701795,1
1,0.312801125,0.529606184,0.914531478,0.064445953,0.573057037,0
1,0.283318302,0.491937979,0.3899995,0.025560842,0.373471994,0
0,0.813578309,0.604542618,0.902778607,0.039292997,0.344739933,0
0,0.907199116,0.703807503,0.228322122,0.067165192,0.264096112,0
1,0.284999186,0.508219695,0.234985747,0.10183547,0.544713907,1
0,0.747973344,0.586880875,0.427710241,0.330659393,0.845281307,0
0,0.901272853,0.667776199,0.612672287,0.048266484,0.534778325,1
0,0.820177562,0.721624494,0.493392305,0.05574439,0.474976332,0
0,0.803009661,0.609059391,0.529939413,0.095173335,0.574595355,0
1,0.304174811,0.545647568,0.435736227,0.132834803,0.603554786,1
1,0.275092968,0.454243144,0.684397387,0.060367096,0.25992466,1
1,0.264805224,0.516733511,0.911289945,0.068388849,0.374493221,1
0,0.778772127,0.638408611,0.064814546,0.157307936,0.466349468,1
0,0.817013581,0.650043864,0.680783166,0.065533649,0.837070804,1
1,0.296287325,0.45991129,0.338344291,0.021481984,0.334217507,1
0,0.784956556,0.611570544,0.561181656,0.050305913,0.407075683,1
1,0.207823917,0.499644003,0.306636211,0.034534329,0.47352368,1
1,0.316874593,0.462142928,0.262625749,0.111080881,0.799822076,0
0,0.777765257,0.578330289,0.610775148,0.229911605,0.522244458,1
0,0.75020267,0.602939464,0.630915108,0.109041465,0.167622647,0
0,0.857442987,0.647829552,0.353201116,0.032630862,0.690559332,0
1,0.129101969,0.440585347,0.675999893,0.033038748,0.484840599,1
0,0.772973834,0.602316184,0.722971932,0.031679129,0.259174877,0
0,0.855214586,0.620188554,0.767569052,0.050849761,0.674573702,1
1,0.311903168,0.541211072,0.616350995,0.083616585,0.464223419,0
1,0.280958396,0.533408203,0.173076087,0.214004059,0.487587928,1
1,0.273374583,0.498887568,0.428570866,0.046770903,0.536787806,1
1,0.22796209,0.474887883,0.22522572,0.057919781,0.120248164,1
1,0.249266441,0.498644082,0.467391431,0.071651936,0.173851248,1
0,0.81557844,0.701479977,0.711540644,0.054112847,0.251231527,1
0,0.814608641,0.634264831,0.177272566,0.070292316,0.866470161,1
1,0.268891178,0.513147009,0.214953201,0.114479929,0.480110837,1
1,0.237852882,0.503453427,0.268288896,0.096125069,0.604745847,0
1,0.312018172,0.519308402,0.074832739,0.027872195,0.97237638,0
0,0.958717744,0.713189289,0.58088278,0.056696124,0.741980055,1
1,0.258864093,0.501418353,0.284644733,0.041876274,0.851271112,1
0,0.762608163,0.580814985,0.493548379,0.098164525,0.54232688,1
1,0.308479271,0.434034284,0.724692959,0.094901439,0.837265302,1
0,0.9379158,0.682605229,0.424710938,0.0296397,0.435239697,0
0,0.768073541,0.618778978,0.253732218,0.06417403,0.755900301,0
1,0.230868355,0.471213544,0.31578892,0.108497631,0.503479064,0
1,0.284937208,0.483879037,0.660377772,0.334330378,0.489041922,0
1,0.232406681,0.480010113,0.462687425,0.173215481,0.449526191,1
0,0.815716594,0.648327521,0.639240366,0.029367776,0.622247753,0
1,0.090205851,0.332512711,0.485981049,0.069340583,0.547545571,1
1,0.273011718,0.491908649,0.714289259,0.22977567,0.57171713,1
1,0.276874491,0.471188822,0.087210289,0.059823248,0.601364153,1
0,0.860529236,0.6212208,0.160000016,0.127124402,0.258466749,1
0,0.885319972,0.643526478,0.448052262,0.019714479,0.264066885,0
1,0.294874598,0.507699624,0.787942015,0.147246753,0.727432462,0
0,0.805117121,0.980691657,0.63537969,0.196872884,0.325685066,0
0,0.745800017,0.561550438,0.366667651,0.054248809,0.480717804,1
0,0.775944416,0.61865888,0.486419513,0.132698841,0.771848054,1
0,0.788324373,0.598331767,0.846960653,0.321685906,0.214256963,0
1,0.278452154,0.518064201,0.590658642,0.405982314,0.338868343,1
1,0.226372221,0.508962981,0.092787023,0.010333106,0.864455316,1
1,0.247924017,0.471841972,0.793772546,0.136777712,0.687847961,0
0,0.745554018,0.600032954,0.403846376,0.095445273,0.244391972,0
0,0.761578028,0.577395062,0.519842555,0.062950372,0.336116383,0
0,0.861187452,0.663564511,0.794240378,0.040108768,0.498131476,1
0,0.847581117,0.672153445,0.763209218,0.225968723,0.323145771,0
1,0.31900239,0.527221038,0.412541065,0.113664171,0.755075255,0
0,0.787288485,0.6225289,0.573100624,0.220938118,0.170262575,1
0,0.862510848,0.675326936,0.518868205,0.045275322,0.447354203,0
1,0.271997051,0.498077438,0.403512301,0.019442556,0.593093395,1
1,0.274022961,0.414764295,0.869764792,0.075322908,0.597594226,0
0,0.794148625,0.610328822,0.59813053,0.392658045,0.881283017,0
0,0.898050219,0.647443727,0.521530185,0.059551324,0.74531124,0
1,0.210170683,0.474245582,0.36805435,0.087967367,0.338541872,0
0,0.802099583,0.682520939,0.44890394,0.076410603,0.713111786,1
1,0.211851104,0.54569367,0.488440167,0.406254238,0.524243207,1
0,0.899285698,0.639989445,0.7179488,0.120734191,0.887846102,1
1,0.232375825,0.459074641,0.752851228,0.029231814,0.616431494,1
1,0.231462304,0.493001407,0.633858412,0.332154988,0.2696739,1
1,0.090644089,0.433808432,0.451880524,0.254248803,0.585436777,0
0,0.751998102,0.58938744,0.270488437,0.090006796,0.677400825,1
1,0.192079742,0.391594538,0.477193317,0.12630863,0.522830273,0
0,0.757887065,0.610030213,0.641513457,0.067301154,0.365922644,1
1,0.309493887,0.496818836,0.353562797,0.041468388,0.543159145,1
0,0.764740286,0.586449752,0.346341482,0.065397687,0.850486241,1
0,0.904805807,0.69395596,0.577639917,0.042012235,0.295482535,1
1,0.302999545,0.518283547,1,0.063222296,0.64338494,1
0,0.817349421,0.670188773,0.590747703,0.04513936,0.566875162,1
0,0.832100975,0.65223154,0.327377976,0.075594831,0.67774917,1
0,0.851763053,0.628550897,0.40094142,0.121821887,0.484274346,0
1,0.268841434,0.518019176,0.514152103,0.058599591,0.356282272,0
0,0.821410495,0.606035511,0.269911912,0.009245411,0.554908924,0
0,0.751773226,0.613056682,0.616702634,0.296940848,0.427400868,1
0,0.779906091,0.608834021,0.579187427,0.256560156,0.099599038,1
1,0.310868381,0.483502789,0.60000007,0.174575114,0.224841661,1
1,0.319297037,0.538169972,0.73509636,0.050577837,0.529275158,1
0,0.840448411,0.635649475,0.83227922,0.051801494,0.641564039,0
0,0.844055907,0.710164911,0.632352863,0.186675739,0.325884922,1
0,0.839420901,0.709133967,0.393491018,0.166689322,0.388925729,1
1,0.309201904,0.541814677,0.352380336,0.058191705,0.244490537,1
0,0.747716635,0.655627843,0.489012686,0.054384771,0.684729064,1
0,0.789691875,0.591585073,0.148648621,0.113936095,0.475161241,0
0,0.820892273,0.707070042,0.367212165,0.212916364,0.580397806,1
0,0.749813372,0.616960756,0.417146717,0.019442556,0.663892674,1
1,0.259293841,0.497205508,0.548286002,0.057104009,0.450848548,1
0,0.793307766,0.633846514,0.564482176,0.040652616,0.214937699,1
0,0.808794187,0.614374973,0.570551626,0.083072737,0.38306357,1
0,0.762533175,0.573912209,0.558013592,0.019850441,0.525952813,0
0,0.80769534,0.608918373,0.374196208,0.065669611,0.475043029,0
1,0.272300781,0.505087476,0.407019131,0.041332426,0.501374864,1
1,0.226430732,0.36805355,0.380048242,0.030591434,0.446335274,0
1,0.297385654,0.48191075,0.471206187,0.049626103,0.846635332,1
1,0.316389157,0.509554054,0.476742063,0.065805573,0.653443249,1
0,0.77165021,0.658526962,0.600565496,0.138681166,0.473434201,0
0,0.746024704,0.600730727,0.16088149,0.215363692,0.536073188,0
0,0.777849419,0.598948364,0.285991635,0.121957862,0.63170369,0
1,0.286056735,0.507244813,0.67002536,0.0860639,0.570548909,0
1,0.311021199,0.541547508,0.745342834,0.02895989,0.434628119,1
1,0.296789884,0.520922788,0.563380723,0.023657375,0.509852217,1
0,0.805120646,0.635821438,0.807140801,0.054928618,0.503230759,0
1,0.302701541,0.502596105,0.521212096,0.091230453,0.277132215,1
0,0.829524267,0.617400535,0.647201417,0.114887828,0.680593424,0
0,0.755611816,0.588145116,0.589283235,0.044051664,0.397053054,0
1,0.298412797,0.503886599,0.612068271,0.196057085,0.306877875,1
1,0.294056614,0.53858715,0.558592659,0.005030591,0.92700403,0
0,0.76265,0.579070544,0.579755753,0.052481304,0.397933437,1
0,0.79422767,0.608899523,0.925196328,0.092861996,0.715361879,1
1,0.312886768,0.551404495,0.726590877,0.00067981,0.892241379,1
0,0.858172288,0.6754084,0.501491646,0.112576476,0.693220119,0
0,0.783525,0.62711665,0.170269598,0.128484021,0.650706331,1
1,0.293981628,0.497124291,0.168538522,0.283072718,0.627964699,1
1,0.279604111,0.529399141,0.603216954,0.087559481,0.858072962,1
1,0.268265267,0.476517694,0.478688668,0.054248809,0.654389761,0
0,0.748438277,0.586086123,0.516000413,0.289191019,0.418807178,1
1,0.26189079,0.518869755,0.571427872,0.098300487,0.509852217,1
1,0.236372582,0.471752306,0.559172877,0.054112847,0.820737715,0
1,0.233566192,0.504765543,0.477387985,0.363834144,0.426986845,0
0,0.838598126,0.667388036,0.571930779,0.065941535,0.631097561,1
1,0.291744401,0.486013054,0.477178461,0.314615885,0.38294577,1
0,0.768054308,0.621696894,0.618933114,0.130659412,0.627510421,1
1,0.27404607,0.518992739,0.50322646,0.206118268,0.330820141,0
0,0.805568673,0.604757321,0.536120736,0.191570355,0.059444653,0
0,0.80486017,0.631777077,0.119874928,0.002991162,0.36114532,0
0,0.756252836,0.642429396,0.158117792,0.20108769,0.49068484,1
0,0.78859858,0.592231971,0.646808436,0.088511214,0.345491963,1
0,0.751955914,0.562922513,0.657025726,0.171719914,0.390691354,0
0,0.82524937,0.734987876,0.892183376,0.096397006,0.433497537,0
0,0.773397086,0.582135913,0.448086697,0.097892587,0.716059113,1
1,0.302964654,0.519793855,0.798323671,0.102243369,0.432130842,1
0,0.864258833,0.632524703,0.274132158,0.02610469,0.412624585,1
1,0.291395132,0.530990201,0.76136281,0.069204621,0.464329697,0
1,0.263132904,0.521830019,0.770073836,0.050441875,0.885803851,1
1,0.298124706,0.52393761,0.380192044,0.114479929,0.244729064,1
1,0.246601034,0.452603267,0.477733005,0.083480623,0.206696845,1
1,0.274838023,0.522638777,0.847352601,0.092590072,0.49066423,0
0,0.78370993,0.58573567,0.33657195,0.25968728,0.797890793,1
0,0.754067358,0.56983183,0.268288896,0.096125069,0.604745847,1
1,0.129494655,0.45797256,0.185065236,0.01549966,0.389097744,1
1,0.31405393,0.484385772,0.532429028,0.090550643,0.403633005,0
0,0.764407039,0.592826085,0.527271628,0.068252887,0.600009011,1
0,0.75221177,0.626536852,0.619403091,0.094221615,0.763287529,1
1,0.227144731,0.460879225,0.236966712,0.066893268,0.170775743,1
0,0.804821556,0.603578625,0.896552274,0.238205296,0.187891796,0
1,0.28421378,0.479553485,0.766737891,0.130795374,0.334188848,0
0,0.858226502,0.728149599,0.27671399,0.032902786,0.222824302,0
1,0.298105101,0.512688979,0.43889012,0.24106051,0.610480944,1
0,0.764854346,0.572729886,0.789999453,0.114343967,0.431519127,0
0,0.75658837,0.634543136,0.78747255,0.267844996,0.177204734,0
0,0.812663469,0.645860369,0.409088961,0.091774301,0.376647584,0
1,0.312961352,0.530871832,0.657025726,0.171719914,0.390691354,1
1,0.315287214,0.505969957,0.69784094,0.033582596,0.726883904,1
1,0.310568135,0.416022295,0.408069406,0.230183542,0.500232364,0
0,0.755027996,0.591337622,0.78471985,0.06988443,0.445388143,0
1,0,0,0.286055771,0.076138679,0.454028981,1
0,0.838235463,0.646964481,0.322222975,0.033038748,0.358784893,1
0,0.798953917,0.664555828,0.319209538,0.032087015,0.46015543,1
0,0.75083674,0.564136393,0.631580865,0.072875593,0.379889887,1
1,0.240506329,0.505402427,0.268470678,0.060095172,0.207066418,1
1,0.306833216,0.514023954,0.299638718,0.236573767,0.093052876,1
0,0.786061051,0.612778177,0.310206081,0.041332426,0.587963281,1
1,0.250498207,0.374992892,0.605837248,0.165465652,0.633304805,1
1,0.237559863,0.302669679,0.737778623,0.062134601,0.394347939,1
0,0.77670585,0.606374085,0.522388795,0.117878977,0.544642133,0
0,0.813710123,0.737951377,0.199999873,0.28008157,0.400472156,1
1,0.316678962,0.525067361,0.658115765,0.054248809,0.415614129,1
